report_number	local_case_number	agency_name	acrs_report_type	crash_date_time	route_type	collision_type	weather	surface_condition	light	traffic_control	driver_substance_abuse	person_id	driver_at_fault	injury_severity	driver_distracted_by	vehicle_id	vehicle_damage_extent	vehicle_movement	speed_limit	driverless_vehicle	vehicle_year	vehicle_make	vehicle_model	equipment_problems	drivers_license_state	vehicle_body_type	non_motorist_substance_abuse
DD5520001M	220054225	Rockville Police Departme	Property Damage Crash	2022-12-08T10:00:00.000	Municipality	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DAYLIGHT	TRAFFIC SIGNAL	OTHER	07F4B3A1-23D4-4C65-971D-29673771F9DB	Yes	NO APPARENT INJURY	NOT DISTRACTED	E634ACD9-338D-45B7-9469-18A39BFDC00C	FUNCTIONAL	MOVING CONSTANT SPEED	40	No	0	UNKNOWN	UNKNOWN	OTHER	UNKNOWN	OTHER	UNKNOWN
DD5520001M	220054225	Rockville Police Departme	Property Damage Crash	2022-12-08T10:00:00.000	Municipality	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	C0852EE7-8AC9-4D38-B2A9-B82C8DE599A1	No	NO APPARENT INJURY	NOT DISTRACTED	8A75BFA1-6E59-4FAB-A03D-6D44B9A3F6F0	DISABLING	MAKING LEFT TURN	25	No	2017	VOLK	SD	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
DD5651002L	220054222	Rockville Police Departme	Injury Crash	2022-12-08T09:50:00.000	Municipality	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	OTHER	NONE DETECTED	A9181073-946C-4283-8BE3-42C19292E778	Yes	POSSIBLE INJURY	NOT DISTRACTED	F66053D1-322A-49D9-8512-2B7642A8062A	DESTROYED	SLOWING OR STOPPING	30	No	2016	LEXUS	RX 350	OTHER	MO	PASSENGER CAR	UNKNOWN
DD5651002L	220054222	Rockville Police Departme	Injury Crash	2022-12-08T09:50:00.000	Municipality	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	OTHER	NONE DETECTED	EC797D9A-F7D6-4160-A875-3A538BCF7725	No	NO APPARENT INJURY	NOT DISTRACTED	F97A69AE-76D5-405D-A97F-2989F9B07E45	SUPERFICIAL	STOPPED IN TRAFFIC LANE	30	No	2016	SUBARU	FORESTER	NO MISUSE	VA	PASSENGER CAR	UNKNOWN
DD5651002L	220054222	Rockville Police Departme	Injury Crash	2022-12-08T09:50:00.000	Municipality	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	OTHER	NONE DETECTED	E6494CF1-51D5-4068-9478-5E93EFF98764	No	NO APPARENT INJURY	NOT DISTRACTED	7C96BCB8-1CF9-4E88-9135-4720FB8796C5	FUNCTIONAL	SLOWING OR STOPPING	30	No	2019	HOND	TK	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP2195005F	220054214	Montgomery County Police	Property Damage Crash	2022-12-08T08:47:00.000	Maryland (State)	SINGLE VEHICLE	CLEAR	WET	DAYLIGHT	NO CONTROLS	NONE DETECTED	11EEFC20-882B-4406-A9EC-3DA48B754368	No	NO APPARENT INJURY	NOT DISTRACTED	7420BEF0-D6F0-41E9-A86A-F7F2001C374A	FUNCTIONAL	MOVING CONSTANT SPEED	40	No	2017	FORD	4S	NO MISUSE	DC	POLICE VEHICLE/NON EMERGENCY	UNKNOWN
MCP94370020	220054180	Montgomery County Police	Property Damage Crash	2022-12-07T23:00:00.000	Maryland (State)	STRAIGHT MOVEMENT ANGLE	FOGGY	WET	DARK LIGHTS ON	STOP SIGN	NONE DETECTED	1F42249C-548A-4694-A37A-AD1E67633E5D	UNKNOWN	NO APPARENT INJURY	NOT DISTRACTED	61BF4BF3-D7B7-4D8C-A847-F8E847469C8A	SUPERFICIAL	ACCELERATING	40	No	2019	LEXUS	SUV	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP94370020	220054180	Montgomery County Police	Property Damage Crash	2022-12-07T23:00:00.000	Maryland (State)	STRAIGHT MOVEMENT ANGLE	FOGGY	WET	DARK LIGHTS ON	STOP SIGN	NONE DETECTED	A4C14017-675F-4E32-81E4-B3B76AF73D73	UNKNOWN	NO APPARENT INJURY	NOT DISTRACTED	B85DABD4-625E-412B-87F0-EC91455D04AF	FUNCTIONAL	MOVING CONSTANT SPEED	40	No	1987	CHEV	CORVETTE	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP2610002L	220054136	Montgomery County Police	Property Damage Crash	2022-12-07T18:09:00.000	UNKNOWN	SINGLE VEHICLE	CLEAR	OTHER	DARK LIGHTS ON	NO CONTROLS	NONE DETECTED	B06AEA3B-6F45-46FD-A794-218939B79B31	Yes	NO APPARENT INJURY	LOOKED BUT DID NOT SEE	17197B59-B8C5-4C8E-9495-27257EC2EAE3	FUNCTIONAL	MAKING RIGHT TURN	25	No	2019	DODGE	CHARGER	NO MISUSE	MD	POLICE VEHICLE/EMERGENCY	UNKNOWN
MCP2683006C	220054129	Montgomery County Police	Property Damage Crash	2022-12-07T17:44:00.000	County	SAME DIR REAR END	UNKNOWN	DRY	DARK LIGHTS ON	TRAFFIC SIGNAL	NONE DETECTED	2A55C185-4273-47CC-8C2D-79E3A586C585	Yes	NO APPARENT INJURY	NOT DISTRACTED	457A75E5-CC00-4A1B-9714-1272EF84346C	DISABLING	MOVING CONSTANT SPEED	35	No	1997	TOYT	PK	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP2683006C	220054129	Montgomery County Police	Property Damage Crash	2022-12-07T17:44:00.000	County	SAME DIR REAR END	UNKNOWN	DRY	DARK LIGHTS ON	TRAFFIC SIGNAL	NONE DETECTED	9040A5BF-21F0-4A8C-AE15-C45E5F74DDDF	No	NO APPARENT INJURY	NOT DISTRACTED	3BD3AE85-ED7F-4C0F-A10D-51F324893881	FUNCTIONAL	STOPPED IN TRAFFIC LANE	35	No	2017	GILG	BU	NO MISUSE	MD	TRANSIT BUS	UNKNOWN
EJ7885002N	220054125	Gaithersburg Police Depar	Property Damage Crash	2022-12-07T17:40:00.000	County	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DARK LIGHTS ON	TRAFFIC SIGNAL	NONE DETECTED	4D6301C8-2C34-4EE8-AFD1-ECB049CDB8E1	Yes	NO APPARENT INJURY	UNKNOWN	4DBCC294-3D2D-4E7E-A5B4-B7A3BF5BBC8C	DISABLING	MOVING CONSTANT SPEED	35	No	2006	TOYT	SD	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
EJ7885002N	220054125	Gaithersburg Police Depar	Property Damage Crash	2022-12-07T17:40:00.000	County	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DARK LIGHTS ON	TRAFFIC SIGNAL	NONE DETECTED	DC5B048D-028E-4440-97DD-71A368C80699	No	NO APPARENT INJURY	NOT DISTRACTED	EDC27247-7955-416A-A89D-11A2E3735B35	FUNCTIONAL	MOVING CONSTANT SPEED	35	No	2017	TOYT	4S	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP2871008D	220054106	Montgomery County Police	Injury Crash	2022-12-07T16:17:00.000	UNKNOWN	STRAIGHT MOVEMENT ANGLE	CLEAR	OTHER	DARK LIGHTS ON	NO CONTROLS	NONE DETECTED	7EBDD845-6771-4691-9667-28E8C711E62B	No	NO APPARENT INJURY	NOT DISTRACTED	BC43FF05-B9F9-4F16-AF48-391D3A13A6AA	SUPERFICIAL	MOVING CONSTANT SPEED	15	No	2021	HOND	CRV	NO MISUSE	MD	(SPORT) UTILITY VEHICLE	NONE DETECTED
MCP2683006B	220054087	Montgomery County Police	Property Damage Crash	2022-12-07T15:37:00.000	County	SAME DIR REAR END	FOGGY	WET	DAYLIGHT	NO CONTROLS	NONE DETECTED	D3CA3FC6-760F-4030-96EE-4D265E55D328	No	NO APPARENT INJURY	NOT DISTRACTED	830075CA-FA06-451C-8EC7-3195DAD11740	SUPERFICIAL	SLOWING OR STOPPING	35	No	2016	TOY	HIGHLANDER	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP2683006B	220054087	Montgomery County Police	Property Damage Crash	2022-12-07T15:37:00.000	County	SAME DIR REAR END	FOGGY	WET	DAYLIGHT	NO CONTROLS	NONE DETECTED	4570D5B4-D2A7-4086-845D-70B6BF3D1352	Yes	NO APPARENT INJURY	NOT DISTRACTED	0135AA90-7AE0-4147-975A-47273F1EB18B	FUNCTIONAL	SLOWING OR STOPPING	35	No	2000	TOY	CAMRY	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP3094002H	220054088	Montgomery County Police	Property Damage Crash	2022-12-07T14:50:00.000	Maryland (State)	SAME DIRECTION LEFT TURN	UNKNOWN	WET	DAYLIGHT	NO CONTROLS	NONE DETECTED	3AD7E535-1317-419E-B0DB-55DF27FD2D6D	Yes	NO APPARENT INJURY	LOOKED BUT DID NOT SEE	94D30D79-EB4F-452B-BA3D-B4C5F5E20429	SUPERFICIAL	ACCELERATING	35	No	2006	NISS	4S	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP3094002H	220054088	Montgomery County Police	Property Damage Crash	2022-12-07T14:50:00.000	Maryland (State)	SAME DIRECTION LEFT TURN	UNKNOWN	WET	DAYLIGHT	NO CONTROLS	NONE DETECTED	2AB16FD9-4020-4C71-8578-5B20A4570F23	No	NO APPARENT INJURY	NOT DISTRACTED	5E213137-C820-43C9-862A-D3D36CEB31C0	SUPERFICIAL	MOVING CONSTANT SPEED	35	No	2016	VOLVO	TK	NO MISUSE	MD	TRUCK TRACTOR	UNKNOWN
MCP3094002H	220054088	Montgomery County Police	Property Damage Crash	2022-12-07T14:50:00.000	Maryland (State)	SAME DIRECTION LEFT TURN	UNKNOWN	WET	DAYLIGHT	NO CONTROLS	NONE DETECTED	49CAC6AF-9A78-4A37-B57D-FC7B04EBC88D	No	NO APPARENT INJURY	NOT DISTRACTED	6F277487-6E1B-43F3-A235-61DB5E7C3618	SUPERFICIAL	MOVING CONSTANT SPEED	35	No	2010	TOYT	TK	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP2195005D	220054068	Montgomery County Police	Injury Crash	2022-12-07T13:43:00.000	UNKNOWN	OTHER	CLOUDY	OTHER	DAYLIGHT	NO CONTROLS	NONE DETECTED	FA05E81A-6E94-4CFC-9270-26624B00F094	No	NO APPARENT INJURY	NOT DISTRACTED	22E108C2-2F6A-45C1-A795-7489DD96A398	FUNCTIONAL	MOVING CONSTANT SPEED	5	No	2008	SPAR	TK	NO MISUSE	WV	FIRE VEHICLE/EMERGENCY	UNKNOWN
