report_number	local_case_number	agency_name	acrs_report_type	crash_date_time	hit_run	at_fault	collision_type	weather	surface_condition	light	driver_substance_abuse	fixed_oject_struck	road_condition	lane_type	related_non_motorist	non_motorist_substance_abuse
DD5520001M	220054225	Rockville Police Departme	Property Damage Crash	2022-12-08T10:00:00.000	Yes	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DAYLIGHT	NONE DETECTED, UNKNOWN	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
DD5651002L	220054222	Rockville Police Departme	Injury Crash	2022-12-08T09:50:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2195005F	220054214	Montgomery County Police	Property Damage Crash	2022-12-08T08:47:00.000	No	UNKNOWN	SINGLE VEHICLE	CLEAR	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP94370020	220054180	Montgomery County Police	Property Damage Crash	2022-12-07T23:00:00.000	No	UNKNOWN	STRAIGHT MOVEMENT ANGLE	FOGGY	WET	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2610002L	220054136	Montgomery County Police	Property Damage Crash	2022-12-07T18:09:00.000	No	DRIVER	SINGLE VEHICLE	CLEAR	OTHER	DARK LIGHTS ON	NONE DETECTED	CURB	OTHER	OTHER	OTHER	UNKNOWN
MCP2683006C	220054129	Montgomery County Police	Property Damage Crash	2022-12-07T17:44:00.000	No	DRIVER	SAME DIR REAR END	OTHER	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	LEFT TURN LANE	OTHER	UNKNOWN
EJ7885002N	220054125	Gaithersburg Police Depar	Property Damage Crash	2022-12-07T17:40:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2871008D	220054106	Montgomery County Police	Injury Crash	2022-12-07T16:17:00.000	No	NONMOTORIST	STRAIGHT MOVEMENT ANGLE	CLEAR	OTHER	DARK LIGHTS ON	NONE DETECTED	OTHER	OTHER	OTHER	MACHINE OPERATOR/RIDER	NONE DETECTED
MCP2683006B	220054087	Montgomery County Police	Property Damage Crash	2022-12-07T15:37:00.000	No	DRIVER	SAME DIR REAR END	FOGGY	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3094002H	220054088	Montgomery County Police	Property Damage Crash	2022-12-07T14:50:00.000	No	DRIVER	SAME DIRECTION LEFT TURN	OTHER	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2195005D	220054068	Montgomery County Police	Injury Crash	2022-12-07T13:43:00.000	No	DRIVER	OTHER	CLOUDY	OTHER	DAYLIGHT	NONE DETECTED	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP3129005S	220054057	Montgomery County Police	Property Damage Crash	2022-12-07T12:59:00.000	No	DRIVER	SAME DIR REAR END	CLOUDY	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2965006G	220054048	Montgomery County Police	Property Damage Crash	2022-12-07T12:30:00.000	No	DRIVER	SINGLE VEHICLE	SLEET	WET	DAYLIGHT	NONE DETECTED	LIGHT SUPPORT POLE	NO DEFECTS	OTHER	OTHER	UNKNOWN
EJ7895003D	220054054	Gaithersburg Police Depar	Property Damage Crash	2022-12-07T12:30:00.000	Yes	DRIVER	STRAIGHT MOVEMENT ANGLE	CLOUDY	OTHER	DAYLIGHT	NONE DETECTED, UNKNOWN	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP2016006P	220054039	Montgomery County Police	Injury Crash	2022-12-07T11:53:00.000	No	DRIVER	SAME DIR REAR END	CLOUDY	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3042003Z	220054051	Montgomery County Police	Property Damage Crash	2022-12-07T11:50:00.000	No	DRIVER	SINGLE VEHICLE	RAINING	OTHER	DAYLIGHT	OTHER	BUILDING	OTHER	OTHER	OTHER	UNKNOWN
HA2485000S	22002124	Maryland-National Capital	Property Damage Crash	2022-12-07T11:10:00.000	No	UNKNOWN	OTHER	RAINING	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	SEPARATOR	OTHER	UNKNOWN
MCP3129005R	220054006	Montgomery County Police	Injury Crash	2022-12-07T08:42:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	RAINING	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3330000R	220053992	Montgomery County Police	Property Damage Crash	2022-12-07T07:34:00.000	No	DRIVER	SINGLE VEHICLE	RAINING	WET	DAYLIGHT	OTHER	LIGHT SUPPORT POLE	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2203006M	220053990	Montgomery County Police	Property Damage Crash	2022-12-07T07:30:00.000	No	DRIVER	SAME DIR REAR END	RAINING	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP157500DC	220053986	Montgomery County Police	Property Damage Crash	2022-12-07T06:49:00.000	No	DRIVER	SAME DIR REAR END	FOGGY	WET	DAWN	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3322001C	220053891	Montgomery County Police	Property Damage Crash	2022-12-07T05:29:00.000	No	DRIVER	SAME DIRECTION RIGHT TURN	CLOUDY	WET	DARK LIGHTS ON	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2857003V	220053979	Montgomery County Police	Property Damage Crash	2022-12-07T03:19:00.000	No	UNKNOWN	SINGLE VEHICLE	FOGGY	WET	DARK LIGHTS ON	NONE DETECTED	LIGHT SUPPORT POLE	NO DEFECTS	RIGHT TURN LANE	OTHER	UNKNOWN
MCP31270022	220053975	Montgomery County Police	Property Damage Crash	2022-12-07T00:35:00.000	No	DRIVER	OTHER	CLEAR	WET	DARK LIGHTS ON	OTHER	CONCRETE TRAFFIC BARRIER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP32990025	220053971	Montgomery County Police	Property Damage Crash	2022-12-06T23:05:00.000	No	DRIVER	SAME DIR REAR END	RAINING	WET	DARK NO LIGHTS	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
DD5646002G	220053956	Rockville Police Departme	Property Damage Crash	2022-12-06T21:23:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	RAINING	WET	DARK LIGHTS ON	NONE DETECTED	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP2633002X	220053943	Montgomery County Police	Property Damage Crash	2022-12-06T19:27:00.000	No	DRIVER	SAME DIRECTION SIDESWIPE	RAINING	OTHER	DARK LIGHTS ON	NONE DETECTED	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP24660040	220053938	Montgomery County Police	Property Damage Crash	2022-12-06T19:15:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	RAINING	WET	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP30050070	220053937	Montgomery County Police	Property Damage Crash	2022-12-06T19:03:00.000	No	DRIVER	ANGLE MEETS LEFT TURN	RAINING	WET	DARK NO LIGHTS	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2871008C	220053926	Montgomery County Police	Injury Crash	2022-12-06T18:14:00.000	No	DRIVER	OTHER	RAINING	OTHER	DARK LIGHTS ON	NONE DETECTED	OTHER	OTHER	OTHER	PEDESTRIAN	NONE DETECTED
MCP3005006Z	220053917	Montgomery County Police	Injury Crash	2022-12-06T17:24:00.000	No	DRIVER	SAME DIR REAR END	RAINING	WET	DARK LIGHTS ON	NONE DETECTED	CURB	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3262002F	220053916	Montgomery County Police	Property Damage Crash	2022-12-06T17:15:00.000	No	DRIVER	ANGLE MEETS LEFT TURN	RAINING	WET	DARK NO LIGHTS	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP26830069	220053904	Montgomery County Police	Property Damage Crash	2022-12-06T16:46:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	RAINING	WET	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP22980127	220053911	Montgomery County Police	Property Damage Crash	2022-12-06T16:45:00.000	No	DRIVER	HEAD ON	RAINING	WET	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
EJ78760056	220053888	Gaithersburg Police Depar	Property Damage Crash	2022-12-06T15:00:00.000	No	DRIVER	SAME DIR REAR END	RAINING	WET	DAYLIGHT	UNKNOWN, NONE DETECTED	OTHER	NO DEFECTS	LEFT TURN LANE	OTHER	UNKNOWN
DD5652001X	220053882	Rockville Police Departme	Property Damage Crash	2022-12-06T14:49:00.000	No	UNKNOWN	SAME DIRECTION SIDESWIPE	RAINING	OTHER	DAYLIGHT	NONE DETECTED	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP3090006J	220053878	Montgomery County Police	Property Damage Crash	2022-12-06T14:46:00.000	No	DRIVER	SINGLE VEHICLE	RAINING	WET	DAYLIGHT	OTHER	LIGHT SUPPORT POLE	OTHER	OTHER	OTHER	UNKNOWN
MCP3341000T	220053877	Montgomery County Police	Property Damage Crash	2022-12-06T14:30:00.000	No	DRIVER	SINGLE VEHICLE	RAINING	WET	DAYLIGHT	OTHER	CONCRETE TRAFFIC BARRIER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP30090059	220053874	Montgomery County Police	Injury Crash	2022-12-06T14:05:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLOUDY	WET	DAYLIGHT	OTHER	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP3268002J	220053850	Montgomery County Police	Property Damage Crash	2022-12-06T12:40:00.000	No	DRIVER	SINGLE VEHICLE	RAINING	WET	DAYLIGHT	OTHER	CURB	NO DEFECTS	OTHER	OTHER	UNKNOWN
DD5648001K	220053838	Rockville Police Departme	Property Damage Crash	2022-12-06T11:30:00.000	Yes	DRIVER	OTHER	RAINING	OTHER	DAYLIGHT	NONE DETECTED	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP209400KY	220053828	Montgomery County Police	Injury Crash	2022-12-06T11:04:00.000	No	DRIVER	HEAD ON LEFT TURN	CLOUDY	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3190004D	220053826	Montgomery County Police	Property Damage Crash	2022-12-06T10:52:00.000	No	DRIVER	SINGLE VEHICLE	CLOUDY	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
EJ78940020	220053822	Gaithersburg Police Depar	Property Damage Crash	2022-12-06T10:47:00.000	No	DRIVER	SAME DIR REND RIGHT TURN	RAINING	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3091003T	220053824	Montgomery County Police	Injury Crash	2022-12-06T10:38:00.000	No	DRIVER	SINGLE VEHICLE	CLOUDY	WET	DAYLIGHT	OTHER	OTHER POLE	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2622003J	220053802	Montgomery County Police	Property Damage Crash	2022-12-06T08:16:00.000	No	DRIVER	SINGLE VEHICLE	RAINING	WET	DAYLIGHT	NONE DETECTED	GUARDRAIL OR BARRIER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2270000H	220053801	Montgomery County Police	Property Damage Crash	2022-12-06T08:00:00.000	No	DRIVER	SINGLE VEHICLE	RAINING	WET	DAYLIGHT	NONE DETECTED	GUARDRAIL OR BARRIER	NO DEFECTS	ON RAMP	OTHER	UNKNOWN
MCP3016003Z	220053799	Montgomery County Police	Property Damage Crash	2022-12-06T07:53:00.000	No	DRIVER	SAME DIR REAR END	RAINING	WET	DAYLIGHT	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP1086000C	220053805	Montgomery County Police	Injury Crash	2022-12-06T07:42:00.000	No	DRIVER	OTHER	FOGGY	OTHER	OTHER	NONE DETECTED	OTHER	OTHER	OTHER	PEDESTRIAN	NONE DETECTED
MCP2351004V	220053793	Montgomery County Police	Property Damage Crash	2022-12-06T05:43:00.000	No	UNKNOWN	SINGLE VEHICLE	RAINING	WET	DARK NO LIGHTS	NONE DETECTED	CURB	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2305002J	220053786	Montgomery County Police	Property Damage Crash	2022-12-06T01:14:00.000	No	UNKNOWN	SINGLE VEHICLE	CLEAR	DRY	DARK NO LIGHTS	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP23860024	220053782	Montgomery County Police	Injury Crash	2022-12-05T21:00:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	OTHER	DARK LIGHTS ON	NONE DETECTED	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP3053005S	220053765	Montgomery County Police	Property Damage Crash	2022-12-05T19:57:00.000	Yes	DRIVER	OTHER	CLEAR	DRY	OTHER	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP33200018	220053761	Montgomery County Police	Property Damage Crash	2022-12-05T19:41:00.000	Yes	DRIVER	SAME DIR REAR END	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED, UNKNOWN	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3031004N	220053755	Montgomery County Police	Property Damage Crash	2022-12-05T18:53:00.000	No	DRIVER	SINGLE VEHICLE	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	BRIDGE OR OVERPASS	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP219800CG	220053751	Montgomery County Police	Property Damage Crash	2022-12-05T18:43:00.000	Yes	DRIVER	OPPOSITE DIRECTION SIDESWIPE	CLEAR	OTHER	DARK LIGHTS ON	OTHER	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP3311001C	220053736	Montgomery County Police	Property Damage Crash	2022-12-05T17:07:00.000	No	UNKNOWN	SAME DIRECTION RIGHT TURN	CLEAR	DRY	DARK LIGHTS ON	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2686005V	220053728	Montgomery County Police	Property Damage Crash	2022-12-05T16:31:00.000	No	DRIVER	SAME DIRECTION RIGHT TURN	CLEAR	DRY	DUSK	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3079004T	220053710	Montgomery County Police	Injury Crash	2022-12-05T15:24:00.000	No	DRIVER	SINGLE VEHICLE	CLEAR	OTHER	DAYLIGHT	ALCOHOL CONTRIBUTED	TREE SHRUBBERY	OTHER	OTHER	OTHER	UNKNOWN
MCP3228004C	220053707	Montgomery County Police	Injury Crash	2022-12-05T15:04:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2047004R	220053704	Montgomery County Police	Property Damage Crash	2022-12-05T15:00:00.000	No	DRIVER	SAME DIR REND RIGHT TURN	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP291700BG	220053679	Montgomery County Police	Injury Crash	2022-12-05T12:54:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
DD5620008P	220053670	Rockville Police Departme	Property Damage Crash	2022-12-05T12:25:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3334000Q	220053662	Montgomery County Police	Injury Crash	2022-12-05T11:31:00.000	No	DRIVER	SAME DIRECTION RIGHT TURN	CLEAR	OTHER	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
DD5620008M	220053654	Rockville Police Departme	Property Damage Crash	2022-12-05T10:35:00.000	No	DRIVER	OTHER	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3290001T	220053644	Montgomery County Police	Property Damage Crash	2022-12-05T09:53:00.000	No	DRIVER	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
EJ7895003B	220053629	Gaithersburg Police Depar	Property Damage Crash	2022-12-05T08:20:00.000	No	DRIVER	SAME DIRECTION LEFT TURN	OTHER	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
DD5628005L	220053627	Rockville Police Departme	Injury Crash	2022-12-05T08:13:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED, UNKNOWN	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2837004V	220053626	Montgomery County Police	Property Damage Crash	2022-12-05T07:45:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	OTHER	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3334000P	220053624	Montgomery County Police	Property Damage Crash	2022-12-05T07:21:00.000	No	DRIVER	SAME DIRECTION RIGHT TURN	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2723006W	220053591	Montgomery County Police	Property Damage Crash	2022-12-04T22:30:00.000	Yes	DRIVER	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DARK LIGHTS ON	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2635007P	220053567	Montgomery County Police	Property Damage Crash	2022-12-04T19:11:00.000	No	DRIVER	OTHER	CLEAR	DRY	DARK LIGHTS ON	OTHER	OTHER	NO DEFECTS	SHOULDER AREA	OTHER CONVEYANCE	UNKNOWN
MCP2674003M	220053569	Montgomery County Police	Property Damage Crash	2022-12-04T19:04:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP219800CF	220053554	Montgomery County Police	Injury Crash	2022-12-04T17:11:00.000	No	DRIVER	SAME DIR REAR END	OTHER	DRY	DARK LIGHTS ON	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3160003Z	220053550	Montgomery County Police	Property Damage Crash	2022-12-04T17:00:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	OTHER	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3040005M	220053549	Montgomery County Police	Property Damage Crash	2022-12-04T17:00:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	OTHER	DRY	DARK NO LIGHTS	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2861005P	220053542	Montgomery County Police	Injury Crash	2022-12-04T16:25:00.000	No	DRIVER	SINGLE VEHICLE	CLEAR	OTHER	DAYLIGHT	NONE DETECTED	LIGHT SUPPORT POLE	OTHER	OTHER	OTHER	UNKNOWN
MCP12130075	220053539	Montgomery County Police	Property Damage Crash	2022-12-04T16:05:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	CURB	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2231006V	220053521	Montgomery County Police	Injury Crash	2022-12-04T12:56:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP1113004N	220053508	Montgomery County Police	Property Damage Crash	2022-12-04T11:16:00.000	No	DRIVER	SINGLE VEHICLE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	TREE SHRUBBERY	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3280002W	220053500	Montgomery County Police	Property Damage Crash	2022-12-04T09:12:00.000	No	DRIVER	HEAD ON LEFT TURN	CLEAR	DRY	DAYLIGHT	NONE DETECTED	TREE SHRUBBERY	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP33310015	220053496	Montgomery County Police	Property Damage Crash	2022-12-04T07:30:00.000	No	DRIVER	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DARK NO LIGHTS	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP32880029	220053471	Montgomery County Police	Property Damage Crash	2022-12-04T00:03:00.000	Yes	DRIVER	SAME DIR REAR END	CLEAR	DRY	DARK LIGHTS ON	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2882002M	220053442	Montgomery County Police	Injury Crash	2022-12-03T19:08:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	OTHER	DARK LIGHTS ON	NONE DETECTED	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP2635007N	220053439	Montgomery County Police	Injury Crash	2022-12-03T18:51:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DARK LIGHTS ON	ALCOHOL CONTRIBUTED, UNKNOWN	EMBANKMENT	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3126003Z	220053433	Montgomery County Police	Property Damage Crash	2022-12-03T18:00:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DARK NO LIGHTS	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
DM8497001J	220053414	Takoma Park Police Depart	Property Damage Crash	2022-12-03T15:44:00.000	No	DRIVER	SAME DIR REAR END	CLOUDY	DRY	DAYLIGHT	UNKNOWN, NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
