report_number	local_case_number	agency_name	acrs_report_type	crash_date_time	off_road_description	related_non_motorist	collision_type	weather	light	traffic_control	driver_substance_abuse	non_motorist_substance_abuse	person_id	pedestrian_type	pedestrian_movement	pedestrian_actions	pedestrian_location	pedestrian_obeyed_traffic_signal	pedestrian_visibility	at_fault	injury_severity	safety_equipment	route_type	surface_condition
MCP2871008D	220054106	Montgomery County Police	Injury Crash	2022-12-07T16:17:00.000	PARKING LOT OF 4860 BOILING BROOK PKWY	MACHINE OPERATOR/RIDER	STRAIGHT MOVEMENT ANGLE	CLEAR	DARK LIGHTS ON	NO CONTROLS	NONE DETECTED	NONE DETECTED	4A718F1A-AEEF-4F66-BDFB-3C997E5EE01B	MACHINE OPERATOR/RIDER	Cross/Enter at Intersection	FAILURE TO YIELD RIGHT OF WAY	OTHER	NO PED. SIGNAL	MIXED CLOTHING	Yes	SUSPECTED MINOR INJURY	NONE	OTHER	UNKNOWN
MCP2871008C	220053926	Montgomery County Police	Injury Crash	2022-12-06T18:14:00.000	PARKING LOT OF 10233 OLD GEORGETOWN RD	PEDESTRIAN	OTHER	RAINING	DARK LIGHTS ON	NO CONTROLS	NONE DETECTED	NONE DETECTED	27958942-F1C4-4BA3-9CAD-62590972CFE5	PEDESTRIAN	Walking/Riding against Traffic	NO IMPROPER ACTIONS	OTHER	NO PED. SIGNAL	MIXED CLOTHING	No	POSSIBLE INJURY	NONE	OTHER	UNKNOWN
MCP1086000C	220053805	Montgomery County Police	Injury Crash	2022-12-06T07:42:00.000	NORTHWOOD HIGH SCHOOL 919 UNIVERSITY BLVD W. PARKING LOT	PEDESTRIAN	OTHER	FOGGY	OTHER	OTHER	NONE DETECTED	NONE DETECTED	EEA51DBF-DBA5-4CA4-AD3E-49D5D03A646C	PEDESTRIAN	Walking to/from school	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	OTHER	MIXED CLOTHING	No	SUSPECTED MINOR INJURY	NONE	OTHER	UNKNOWN
MCP1086000C	220053805	Montgomery County Police	Injury Crash	2022-12-06T07:42:00.000	NORTHWOOD HIGH SCHOOL 919 UNIVERSITY BLVD W. PARKING LOT	PEDESTRIAN	OTHER	FOGGY	OTHER	OTHER	NONE DETECTED	NONE DETECTED	17AE2D3F-80C4-4677-B7B0-02B77012A9F5	PEDESTRIAN	Walking to/from school	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	OTHER	MIXED CLOTHING	No	SUSPECTED MINOR INJURY	NONE	OTHER	UNKNOWN
MCP2635007P	220053567	Montgomery County Police	Property Damage Crash	2022-12-04T19:11:00.000	UNKNOWN	OTHER CONVEYANCE	OTHER	CLEAR	DARK LIGHTS ON	STOP SIGN	UNKNOWN	UNKNOWN	3503640F-956E-4361-AF65-C3F25935FC81	OTHER CONVEYANCE	Walking/Cycling on Sidewalk	NO IMPROPER ACTIONS	SIDEWALK	NO PED. SIGNAL	MIXED CLOTHING	No	NO APPARENT INJURY	NONE	Maryland (State)	DRY
MCP1378012Z	220053074	Montgomery County Police	Injury Crash	2022-12-01T17:16:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DARK LIGHTS ON	NO CONTROLS	NONE DETECTED	NONE DETECTED	F344DDB7-8FF0-4CE9-BC7B-FAC53405377C	PEDESTRIAN	Cross/Enter not at Intersection	IN ROADWAY IMPROPERLY	ON ROADWAY NOT AT CROSSWALK	NO PED. SIGNAL	DARK CLOTHING	Yes	SUSPECTED MINOR INJURY	NONE	Maryland (State)	DRY
DD56120035	220053012	Rockville Police Departme	Injury Crash	2022-12-01T12:13:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	UNKNOWN	1B8BD38C-E4C3-4151-BC75-18AB3A73E95A	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	AT INTERSECTION MARKED CROSSWALK	OBEYED PED. SIGNAL	DARK CLOTHING	No	POSSIBLE INJURY	NONE	Maryland (State)	DRY
HA2449001H	22002092	Maryland-National Capital	Injury Crash	2022-12-01T07:37:00.000	CAPITAL CRESCENT TRAIL AND LITTLE FALLS PARKWAY	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DAYLIGHT	OTHER	UNKNOWN	UNKNOWN	ED0035A9-3897-4954-8C1D-2D2F544A74C8	PEDESTRIAN	Walking/Cycling on Sidewalk	NO IMPROPER ACTIONS	SHARED USE PATH OR TRAILS	OTHER	OTHER	No	POSSIBLE INJURY	NONE	OTHER	UNKNOWN
MCP32530022	220052964	Montgomery County Police	Injury Crash	2022-12-01T06:30:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DARK LIGHTS ON	STOP SIGN	NONE DETECTED	NONE DETECTED	3B910328-188F-456B-B0C9-228516843CFF	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	NO PED. SIGNAL	DARK CLOTHING	No	SUSPECTED MINOR INJURY	NONE	County	DRY
MCP3263002W	220052908	Montgomery County Police	Injury Crash	2022-11-30T18:30:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DARK LIGHTS ON	FLASHING TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	1CFB9532-70E6-4529-A789-9C969E0FEC75	PEDESTRIAN	Cross/Enter at Intersection	OTHER	ON ROADWAY AT CROSSWALK	OBEYED PED. SIGNAL	DARK CLOTHING	No	SUSPECTED MINOR INJURY	NONE	Maryland (State)	UNKNOWN
